2022-11-07 16:21:03: min = 18 , max = 22 , avr = 19
2022-11-07 16:21:12: min = 17 , max = 24 , avr = 20
2022-11-07 16:21:20: min = 18 , max = 26 , avr = 22
2022-11-07 16:21:28: min = 16 , max = 35 , avr = 21
2022-11-07 16:21:36: min = 16 , max = 19 , avr = 17
2022-11-07 16:21:44: min = 16 , max = 22 , avr = 19
2022-11-07 16:21:52: min = 17 , max = 19 , avr = 18
2022-11-07 16:22:01: min = 17 , max = 25 , avr = 19
2022-11-07 16:22:09: min = 16 , max = 24 , avr = 21
2022-11-07 16:22:17: min = 16 , max = 25 , avr = 19
2022-11-07 16:22:25: min = 17 , max = 30 , avr = 22
2022-11-07 16:22:33: min = 16 , max = 21 , avr = 18
2022-11-07 16:22:42: min = 16 , max = 24 , avr = 19
2022-11-07 16:22:50: min = 17 , max = 21 , avr = 19
2022-11-07 16:22:58: min = 15 , max = 29 , avr = 22
2022-11-07 16:23:06: min = 16 , max = 21 , avr = 18
2022-11-07 16:23:14: min = 17 , max = 20 , avr = 18
2022-11-07 16:23:22: min = 17 , max = 22 , avr = 19
2022-11-07 16:23:31: min = 15 , max = 29 , avr = 19
2022-11-07 16:23:39: min = 15 , max = 21 , avr = 18
2022-11-07 16:23:47: min = 17 , max = 20 , avr = 18
2022-11-07 16:23:55: min = 15 , max = 23 , avr = 18
2022-11-07 16:24:03: min = 15 , max = 24 , avr = 19
2022-11-07 16:24:12: min = 16 , max = 22 , avr = 20
2022-11-07 16:24:20: min = 16 , max = 27 , avr = 20
2022-11-07 16:24:28: min = 17 , max = 24 , avr = 20
2022-11-07 16:24:36: min = 17 , max = 23 , avr = 19
2022-11-07 16:24:44: min = 17 , max = 22 , avr = 19
2022-11-07 16:24:52: min = 17 , max = 23 , avr = 19
2022-11-07 16:25:01: min = 18 , max = 25 , avr = 21
2022-11-07 16:25:09: min = 16 , max = 28 , avr = 21
2022-11-07 16:25:17: min = 17 , max = 20 , avr = 18
2022-11-07 16:25:25: min = 16 , max = 20 , avr = 18
2022-11-07 16:25:33: min = 17 , max = 22 , avr = 19
2022-11-07 16:25:42: min = 17 , max = 30 , avr = 21
2022-11-07 16:25:50: min = 19 , max = 24 , avr = 21
2022-11-07 16:25:58: min = 16 , max = 20 , avr = 18
2022-11-07 16:26:06: min = 17 , max = 22 , avr = 19
2022-11-07 16:26:14: min = 18 , max = 25 , avr = 21
2022-11-07 16:26:22: min = 17 , max = 22 , avr = 19
2022-11-07 16:26:31: min = 16 , max = 20 , avr = 17
2022-11-07 16:26:39: min = 16 , max = 23 , avr = 18
2022-11-07 16:26:47: min = 18 , max = 20 , avr = 19
2022-11-07 16:26:55: min = 17 , max = 24 , avr = 20
2022-11-07 16:27:03: min = 17 , max = 23 , avr = 20
2022-11-07 16:27:12: min = 17 , max = 20 , avr = 18
2022-11-07 16:27:20: min = 18 , max = 28 , avr = 21
2022-11-07 16:27:28: min = 15 , max = 24 , avr = 19
2022-11-07 16:27:36: min = 17 , max = 25 , avr = 19
2022-11-07 16:27:44: min = 16 , max = 19 , avr = 17
2022-11-07 16:27:52: min = 16 , max = 21 , avr = 17
2022-11-07 16:28:01: min = 17 , max = 19 , avr = 17
2022-11-07 16:28:09: min = 16 , max = 23 , avr = 19
2022-11-07 16:28:17: min = 16 , max = 24 , avr = 19
2022-11-07 16:28:25: min = 16 , max = 23 , avr = 19
2022-11-07 16:28:33: min = 15 , max = 22 , avr = 18
2022-11-07 16:28:41: min = 16 , max = 21 , avr = 17
2022-11-07 16:28:50: min = 15 , max = 20 , avr = 17
2022-11-07 16:28:58: min = 17 , max = 24 , avr = 20
2022-11-07 16:29:06: min = 17 , max = 32 , avr = 21
2022-11-07 16:29:14: min = 17 , max = 20 , avr = 18
2022-11-07 16:29:22: min = 15 , max = 25 , avr = 20
2022-11-07 16:29:31: min = 18 , max = 22 , avr = 19
2022-11-07 16:29:39: min = 15 , max = 23 , avr = 18
2022-11-07 16:29:47: min = 16 , max = 26 , avr = 20
2022-11-07 16:29:55: min = 17 , max = 22 , avr = 19
2022-11-07 16:30:03: min = 19 , max = 25 , avr = 22
2022-11-07 16:30:11: min = 18 , max = 19 , avr = 18
2022-11-07 16:30:20: min = 16 , max = 21 , avr = 18
2022-11-07 16:30:28: min = 17 , max = 23 , avr = 19
2022-11-07 16:30:36: min = 19 , max = 27 , avr = 21
2022-11-07 16:30:44: min = 17 , max = 22 , avr = 19
2022-11-07 16:30:52: min = 18 , max = 22 , avr = 19
2022-11-07 16:31:00: min = 16 , max = 21 , avr = 18
2022-11-07 16:31:09: min = 15 , max = 21 , avr = 18
2022-11-07 16:31:17: min = 17 , max = 28 , avr = 20
2022-11-07 16:31:25: min = 17 , max = 21 , avr = 19
2022-11-07 16:31:33: min = 15 , max = 22 , avr = 17
2022-11-07 16:31:41: min = 18 , max = 25 , avr = 21
2022-11-07 16:31:50: min = 15 , max = 23 , avr = 17
2022-11-07 16:31:58: min = 15 , max = 22 , avr = 18
2022-11-07 16:32:06: min = 16 , max = 24 , avr = 18
2022-11-07 16:32:14: min = 17 , max = 23 , avr = 19
2022-11-07 16:32:22: min = 17 , max = 24 , avr = 19
2022-11-07 16:32:30: min = 16 , max = 26 , avr = 20
2022-11-07 16:32:39: min = 15 , max = 19 , avr = 16
2022-11-07 16:32:47: min = 16 , max = 29 , avr = 20
2022-11-07 16:32:55: min = 16 , max = 22 , avr = 18
2022-11-07 16:33:03: min = 16 , max = 22 , avr = 18
2022-11-07 16:33:11: min = 17 , max = 26 , avr = 20
2022-11-07 16:33:19: min = 19 , max = 22 , avr = 20
2022-11-07 16:33:28: min = 16 , max = 23 , avr = 20
2022-11-07 16:33:36: min = 17 , max = 24 , avr = 20
2022-11-07 16:33:44: min = 17 , max = 28 , avr = 21
2022-11-07 16:33:52: min = 18 , max = 20 , avr = 19
2022-11-07 16:34:00: min = 20 , max = 23 , avr = 21
2022-11-07 16:34:09: min = 17 , max = 24 , avr = 19
2022-11-07 16:34:17: min = 17 , max = 23 , avr = 19
2022-11-07 16:34:25: min = 16 , max = 25 , avr = 20
2022-11-07 16:34:33: min = 18 , max = 20 , avr = 18
2022-11-07 16:34:41: min = 16 , max = 20 , avr = 18
2022-11-07 16:34:49: min = 17 , max = 18 , avr = 17
2022-11-07 16:34:58: min = 16 , max = 21 , avr = 17
2022-11-07 16:35:06: min = 17 , max = 21 , avr = 18
2022-11-07 16:35:14: min = 15 , max = 22 , avr = 17
2022-11-07 16:35:22: min = 17 , max = 21 , avr = 19
2022-11-07 16:35:30: min = 17 , max = 24 , avr = 20
2022-11-07 16:35:39: min = 17 , max = 24 , avr = 20
2022-11-07 16:35:47: min = 18 , max = 22 , avr = 20
2022-11-07 16:35:55: min = 16 , max = 25 , avr = 19
2022-11-07 16:36:03: min = 16 , max = 22 , avr = 18
2022-11-07 16:36:11: min = 16 , max = 20 , avr = 17
2022-11-07 16:36:19: min = 16 , max = 27 , avr = 19
2022-11-07 16:36:28: min = 17 , max = 25 , avr = 21
2022-11-07 16:36:36: min = 16 , max = 25 , avr = 20
2022-11-07 16:36:44: min = 15 , max = 22 , avr = 18
2022-11-07 16:36:52: min = 16 , max = 20 , avr = 17
2022-11-07 16:37:00: min = 18 , max = 26 , avr = 22
2022-11-07 16:37:09: min = 17 , max = 21 , avr = 18
2022-11-07 16:37:17: min = 16 , max = 21 , avr = 18
2022-11-07 16:37:25: min = 18 , max = 21 , avr = 19
2022-11-07 16:37:33: min = 19 , max = 23 , avr = 21
2022-11-07 16:37:41: min = 16 , max = 20 , avr = 18
2022-11-07 16:37:50: min = 17 , max = 24 , avr = 19
2022-11-07 16:37:58: min = 17 , max = 22 , avr = 18
2022-11-07 16:38:06: min = 17 , max = 25 , avr = 20
2022-11-07 16:38:14: min = 16 , max = 19 , avr = 17
2022-11-07 16:38:22: min = 17 , max = 21 , avr = 18
2022-11-07 16:38:30: min = 18 , max = 25 , avr = 21
2022-11-07 16:38:39: min = 21 , max = 32 , avr = 24
2022-11-07 16:38:47: min = 16 , max = 20 , avr = 17
2022-11-07 16:38:55: min = 18 , max = 21 , avr = 18
2022-11-07 16:39:03: min = 17 , max = 19 , avr = 18
2022-11-07 16:39:11: min = 16 , max = 21 , avr = 17
2022-11-07 16:39:19: min = 17 , max = 22 , avr = 19
2022-11-07 16:39:28: min = 16 , max = 21 , avr = 18
2022-11-07 16:39:36: min = 18 , max = 25 , avr = 21
2022-11-07 16:39:44: min = 15 , max = 22 , avr = 18
2022-11-07 16:39:52: min = 17 , max = 19 , avr = 17
2022-11-07 16:40:00: min = 17 , max = 21 , avr = 19
2022-11-07 16:40:09: min = 18 , max = 22 , avr = 19
2022-11-07 16:40:17: min = 16 , max = 20 , avr = 18
2022-11-07 16:40:25: min = 18 , max = 25 , avr = 20
2022-11-07 16:40:33: min = 17 , max = 21 , avr = 19
2022-11-07 16:40:41: min = 16 , max = 23 , avr = 20
2022-11-07 16:40:49: min = 18 , max = 24 , avr = 20
2022-11-07 16:40:58: min = 16 , max = 17 , avr = 16
2022-11-07 16:41:06: min = 16 , max = 20 , avr = 18
2022-11-07 16:41:14: min = 17 , max = 20 , avr = 18
2022-11-07 16:41:22: min = 17 , max = 21 , avr = 18
2022-11-07 16:41:30: min = 16 , max = 22 , avr = 19
2022-11-07 16:41:38: min = 18 , max = 23 , avr = 19
2022-11-07 16:41:47: min = 20 , max = 23 , avr = 21
2022-11-07 16:41:55: min = 17 , max = 19 , avr = 18
2022-11-07 16:42:03: min = 15 , max = 25 , avr = 20
2022-11-07 16:42:11: min = 15 , max = 22 , avr = 18
2022-11-07 16:42:19: min = 16 , max = 22 , avr = 18
2022-11-07 16:42:28: min = 16 , max = 29 , avr = 21
2022-11-07 16:42:36: min = 17 , max = 23 , avr = 19
2022-11-07 16:42:44: min = 17 , max = 20 , avr = 19
2022-11-07 16:42:52: min = 18 , max = 24 , avr = 20
2022-11-07 16:43:00: min = 16 , max = 24 , avr = 20
2022-11-07 16:43:08: min = 16 , max = 25 , avr = 20
2022-11-07 16:43:17: min = 18 , max = 22 , avr = 20
2022-11-07 16:43:25: min = 18 , max = 28 , avr = 20
2022-11-07 16:43:33: min = 17 , max = 24 , avr = 19
2022-11-07 16:43:41: min = 19 , max = 22 , avr = 20
2022-11-07 16:43:49: min = 18 , max = 24 , avr = 21
2022-11-07 16:43:58: min = 16 , max = 19 , avr = 17
2022-11-07 16:44:06: min = 16 , max = 20 , avr = 18
2022-11-07 16:44:14: min = 17 , max = 24 , avr = 20
2022-11-07 16:44:22: min = 17 , max = 24 , avr = 20
2022-11-07 16:44:30: min = 18 , max = 21 , avr = 19
2022-11-07 16:44:38: min = 16 , max = 21 , avr = 18
2022-11-07 16:44:47: min = 16 , max = 20 , avr = 18
2022-11-07 16:44:55: min = 16 , max = 22 , avr = 19
2022-11-07 16:45:03: min = 16 , max = 21 , avr = 18
2022-11-07 16:45:11: min = 16 , max = 19 , avr = 17
2022-11-07 16:45:19: min = 16 , max = 21 , avr = 18
2022-11-07 16:45:27: min = 16 , max = 23 , avr = 18
2022-11-07 16:45:36: min = 16 , max = 23 , avr = 19
2022-11-07 16:45:44: min = 17 , max = 21 , avr = 19
2022-11-07 16:45:52: min = 17 , max = 24 , avr = 20
2022-11-07 16:46:00: min = 18 , max = 22 , avr = 20
2022-11-07 16:46:08: min = 16 , max = 23 , avr = 18
2022-11-07 16:46:17: min = 16 , max = 19 , avr = 17
2022-11-07 16:46:25: min = 16 , max = 27 , avr = 19
2022-11-07 16:46:33: min = 16 , max = 23 , avr = 18
2022-11-07 16:46:41: min = 18 , max = 28 , avr = 22
2022-11-07 16:46:49: min = 17 , max = 22 , avr = 18
2022-11-07 16:46:57: min = 17 , max = 22 , avr = 19
2022-11-07 16:47:06: min = 17 , max = 22 , avr = 18
2022-11-07 16:47:14: min = 15 , max = 23 , avr = 19
2022-11-07 16:47:22: min = 17 , max = 22 , avr = 19
2022-11-07 16:47:30: min = 16 , max = 21 , avr = 19
